Accession_Number	Identified Proteins (551)	Molecular Weight	ANOVA Test (P-Value	Entry		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN		All_Pathways		ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle
CAPZB_MOUSE	F-actin-capping protein subunit beta OS=Mus musculus GN=Capzb PE=1 SV=3	31 kDa	0.037	P47757		4.7857	3.4621	3.2892	3.4941	0	3.0062	2.9485	3.4621	3.2892	2.3367	3.0091	0	1.8645	1.0101	0	0.7187	1.6298	1.5973	1.7833	1.6701																	
RL11_MOUSE	60S ribosomal protein L11 OS=Mus musculus GN=Rpl11 PE=1 SV=4	20 kDa	0.038	Q9CXW4		1.9143	0.8655	1.0964	1.1647	2.243	1.4568	0	0.8655	1.0964	0	0.4905	1.8951	1.8645	3.0304	2.449	2.3098	0.8149	0	2.6749	1.1633																	
CNN3_MOUSE	Calponin-3 OS=Mus musculus GN=Cnn3 PE=1 SV=1 (CNN3_MOUSE)	36 kDa	0.039	Q9DAW9		4.7857	6.0587	2.1928	5.8235	12.336	6.2393	0.9828	6.0587	2.1928	5.8418	3.769	11.371	4.6613	5.0507	1.2245	5.5769	17.113	16.772	7.1332	13.6727																	
K1C16_MOUSE	Keratin, type I cytoskeletal 16 OS=Mus musculus GN=Krt16 PE=1 SV=3	52 kDa	0.039	Q9Z2K1		8.6143	6.9242	2.1928	5.8235	0	4.711	13.76	6.9242	2.1928	23.367	11.561	0.9476	0.9323	1.0101	2.449	1.3347	0	0	0.8917	0.2972																	
GPX3_MOUSE	Glutathione peroxidase 3 OS=Mus musculus GN=Gpx3 PE=2 SV=2	25 kDa	0.04	P46412		0	0.8655	0	0	1.1215	0.3974	0	0.8655	0	0	0.2164	1.8951	0.9323	2.0203	3.6735	2.1303	2.4448	0	0	0.8149																	
K22E_MOUSE	Keratin, type II cytoskeletal 2 epidermal OS=Mus musculus GN=Krt2 PE=1 SV=1	71 kDa	0.04	Q3TTY5		10.529	15.579	7.6749	20.964	0	10.9494	9.8283	15.579	7.6749	25.704	14.6966	2.8426	2.7968	8.0811	3.6735	4.3485	0.8149	0.7987	0	0.5379																	
GCYB1_MOUSE	Guanylate cyclase soluble subunit beta-1 OS=Mus musculus GN=Gucy1b3 PE=2 SV=1	71 kDa	0.041	O54865		0	0.8655	0	0	1.1215	0.3974	0.9828	0.8655	0	1.1684	0.7542	2.8426	3.729	1.0101	1.2245	2.2016	1.6298	0.7987	0	0.8095																	
ROA2_MOUSE	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus GN=Hnrnpa2b1 PE=1 SV=2	37 kDa	0.041	O88569		7.6571	12.117	8.7713	6.9882	10.093	9.1253	5.897	12.117	8.7713	4.6734	7.8647	5.6853	5.5935	5.0507	1.2245	4.3885	6.5194	4.7919	4.4582	5.2565																	
ARPC4_MOUSE	Actin-related protein 2/3 complex subunit 4 OS=Mus musculus GN=Arpc4 PE=1 SV=3	20 kDa	0.042	P59999		3.8286	4.3276	4.3856	2.3294	6.7289	4.32	0	4.3276	4.3856	5.8418	3.6388	7.5804	6.5258	10.101	6.1225	7.5824	4.0746	3.1946	5.3499	4.2064		Chemokine_Cytokine_Signaling, Cytoskeleton				Chemokine_Cytokine_Signaling	Cytoskeleton										
PP2AB_MOUSE	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Mus musculus GN=Ppp2cb PE=1 SV=1	36 kDa	0.043	P62715		0	0	0	0	1.1215	0.2243	0	0	0	0	0	0	0	0	0	0	1.6298	1.5973	0	1.0757		EGF, FGF							EGF	FGF							
GFAP_MOUSE	Glial fibrillary acidic protein OS=Mus musculus GN=Gfap PE=1 SV=4	50 kDa	0.046	P03995		4.7857	5.1931	6.5785	22.129	3.3644	8.4101	11.794	5.1931	6.5785	12.852	9.1044	17.056	10.255	19.193	25.714	18.0545	4.8895	5.5905	2.6749	4.385																	
ATPG_MOUSE	ATP synthase subunit gamma, mitochondrial OS=Mus musculus GN=Atp5c1 PE=1 SV=1	33 kDa	0.047	Q91VR2		2.8714	2.5966	2.1928	2.3294	2.243	2.4466	0	2.5966	2.1928	0	1.1974	0	0.9323	1.0101	0	0.4856	1.6298	2.3959	0	1.3419		ATP_Synthesis		ATP_Synthesis													
DPYL2_MOUSE	Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2	62 kDa	0.047	O08553		7.6571	8.6552	9.8677	11.647	2.243	8.014	5.897	8.6552	9.8677	14.02	9.61	16.108	13.984	12.122	13.469	13.9208	8.1492	10.382	5.3499	7.9604																	
VDAC3_MOUSE	Voltage-dependent anion-selective channel protein 3 OS=Mus musculus GN=Vdac3 PE=1 SV=1	31 kDa	0.048	Q60931		7.6571	6.9242	7.6749	8.1528	7.8504	7.6519	0	6.9242	7.6749	0	3.6498	7.5804	0	4.0406	0	2.9053	9.779	7.9865	7.1332	8.2996																	
K2C75_MOUSE	Keratin, type II cytoskeletal 75 OS=Mus musculus GN=Krt75 PE=1 SV=1	60 kDa	0.049	Q8BGZ7		23.929	33.755	0	53.576	0	22.252	31.451	33.755	0	37.387	25.6483	39.797	39.155	48.487	57.551	46.2475	0	15.973	0	5.3243																	
LASP1_MOUSE	LIM and SH3 domain protein 1 OS=Mus musculus GN=Lasp1 PE=1 SV=1	30 kDa	0.049	Q61792		0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0	0	0	0	0	1.6298	2.3959	0	1.3419																	
TGM2_MOUSE	Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus GN=Tgm2 PE=1 SV=4	77 kDa	0.049	P21981		4.7857	7.7897	4.3856	3.4941	1.1215	4.3153	4.9142	7.7897	4.3856	0	4.2724	5.6853	8.3903	8.0811	8.5714	7.682	1.6298	1.5973	3.5666	2.2646																	
ILK_MOUSE	Integrin-linked protein kinase OS=Mus musculus GN=Ilk PE=1 SV=2	51 kDa	0.05	O55222		7.6571	5.1931	7.6749	2.3294	7.8504	6.141	0.9828	5.1931	7.6749	1.1684	3.7548	7.5804	7.458	10.101	8.5714	8.4277	2.4448	3.9932	5.3499	3.9293		Integrin											Integrin				
MDHC_MOUSE	Malate dehydrogenase, cytoplasmic OS=Mus musculus GN=Mdh1 PE=1 SV=3	37 kDa	0.05	P14152		2.8714	3.4621	4.3856	5.8235	8.9719	5.1029	0.9828	3.4621	4.3856	1.1684	2.4997	4.7377	5.5935	7.071	1.2245	4.6567	8.9641	7.9865	6.2415	7.7307		TCA_Cycle															TCA_Cycle
ROA3_MOUSE	Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus GN=Hnrnpa3 PE=1 SV=1	40 kDa	0.05	Q8BG05		0.9571	0	0	1.1647	1.1215	0.6487	0	0	0	0	0	0.9476	0	0	0	0.2369	4.0746	2.3959	0	2.1568																	
ARP5L_MOUSE	Actin-related protein 2/3 complex subunit 5-like protein OS=Mus musculus GN=Arpc5l PE=1 SV=1	17 kDa	0.051	Q9D898		0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0.9476	0.9323	4.0406	1.2245	1.7862	0	0	0.8917	0.2972		Chemokine_Cytokine_Signaling, Huntington, Integrin				Chemokine_Cytokine_Signaling						Huntington	Integrin				
COX5A_MOUSE	Cytochrome c oxidase subunit 5A, mitochondrial OS=Mus musculus GN=Cox5a PE=1 SV=2	16 kDa	0.051	P12787		1.9143	1.731	1.0964	3.4941	2.243	2.0958	0	1.731	1.0964	1.1684	0.999	0.9476	0.9323	0	1.2245	0.7761	1.6298	1.5973	1.7833	1.6701																	
GSTM1_MOUSE	Glutathione S-transferase Mu 1 OS=Mus musculus GN=Gstm1 PE=1 SV=2	26 kDa	0.054	P10649		14.357	23.369	15.35	17.47	22.43	18.5952	15.725	23.369	15.35	28.041	20.6213	19.898	21.442	27.274	34.286	25.725	28.522	31.946	27.641	29.3697																	
LPP_MOUSE	Lipoma-preferred partner homolog OS=Mus musculus GN=Lpp PE=1 SV=1	66 kDa	0.054	Q8BFW7		5.7428	4.3276	4.3856	1.1647	3.3644	3.797	2.9485	4.3276	4.3856	0	2.9154	4.7377	10.255	5.0507	3.6735	5.9292	8.9641	8.7851	5.3499	7.6997																	
PBIP1_MOUSE	Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Mus musculus GN=Pbxip1 PE=1 SV=2	81 kDa	0.054	Q3TVI8		2.8714	0.8655	2.1928	2.3294	0	1.6518	0.9828	0.8655	2.1928	0	1.0103	0	0	0	0	0	0.8149	0	0	0.2716																	
IMPA1_MOUSE	Inositol monophosphatase 1 OS=Mus musculus GN=Impa1 PE=1 SV=1	30 kDa	0.059	O55023		3.8286	4.3276	4.3856	4.6588	4.4859	4.3373	0	4.3276	4.3856	2.3367	2.7625	1.8951	2.7968	0	2.449	1.7852	4.0746	3.9932	2.6749	3.5809																	
CO6A1_MOUSE	Collagen alpha-1(VI) chain OS=Mus musculus GN=Col6a1 PE=2 SV=1	108 kDa	0.06	Q04857		25.843	27.697	32.892	37.27	30.28	30.7964	20.639	27.697	32.892	25.704	26.733	25.584	19.577	16.162	23.265	21.147	26.892	26.355	38.341	30.5293		Chemokine_Cytokine_Signaling, Integrin				Chemokine_Cytokine_Signaling							Integrin				
DMD_MOUSE	Dystrophin OS=Mus musculus GN=Dmd PE=1 SV=3	426 kDa	0.061	P11531		0	0	0	1.1647	1.1215	0.4572	0	0	0	0	0	2.8426	0.9323	0	0	0.9437	2.4448	2.3959	0.8917	1.9108																	
VDAC1_MOUSE	Voltage-dependent anion-selective channel protein 1 OS=Mus musculus GN=Vdac1 PE=1 SV=3	32 kDa	0.061	Q60932		14.357	9.5207	9.8677	6.9882	10.093	10.1653	4.9142	9.5207	9.8677	5.8418	7.5361	7.5804	4.6613	5.0507	1.2245	4.6292	12.224	13.577	5.3499	10.3836																	
KRT85_MOUSE	Keratin, type II cuticular Hb5 OS=Mus musculus GN=Krt85 PE=2 SV=2	56 kDa	0.062	Q9Z2T6		7.6571	6.0587	6.5785	22.129	3.3644	9.1575	17.691	6.0587	6.5785	15.189	11.3793	18.003	10.255	19.193	25.714	18.2913	4.8895	5.5905	2.6749	4.385																	
GRP75_MOUSE	Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3	73 kDa	0.063	P38647		5.7428	2.5966	4.3856	4.6588	3.3644	4.1496	1.9657	2.5966	4.3856	0	2.237	7.5804	9.3226	4.0406	3.6735	6.1543	4.0746	3.9932	4.4582	4.1753		Parkinson													Parkinson		
HEMO_MOUSE	Hemopexin OS=Mus musculus GN=Hpx PE=1 SV=2	51 kDa	0.063	Q91X72		0	0	0	0	0	0	0.9828	0	0	0	0.2457	0.9476	2.7968	1.0101	0	1.1886	0	0	0	0																	
IDH3A_MOUSE	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1	40 kDa	0.065	Q9D6R2		1.9143	1.731	4.3856	1.1647	4.4859	2.7363	0	1.731	4.3856	2.3367	2.1133	0	0	0	0	0	3.2597	4.7919	0.8917	2.9811																	
PRDX6_MOUSE	Peroxiredoxin-6 OS=Mus musculus GN=Prdx6 PE=1 SV=3	25 kDa	0.066	O08709		0	0	1.0964	2.3294	3.3644	1.358	0.9828	0	1.0964	1.1684	0.8119	0.9476	1.8645	1.0101	2.449	1.5678	2.4448	3.1946	3.5666	3.0687																	
SAHH_MOUSE	Adenosylhomocysteinase OS=Mus musculus GN=Ahcy PE=1 SV=3	48 kDa	0.066	P50247		0.9571	0	0	0	1.1215	0.4157	0	0	0	0	0	0	1.8645	0	0	0.4661	1.6298	1.5973	0.8917	1.3729																	
PRDBP_MOUSE	Protein kinase C delta-binding protein OS=Mus musculus GN=Prkcdbp PE=1 SV=1	28 kDa	0.069	Q91VJ2		2.8714	0.8655	2.1928	5.8235	7.8504	3.9207	0	0.8655	2.1928	3.5051	1.6409	5.6853	0.9323	2.0203	0	2.1595	7.3343	6.3892	5.3499	6.3578																	
ALDH2_MOUSE	Aldehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh2 PE=1 SV=1	57 kDa	0.07	P47738		22.014	27.697	26.314	29.117	26.916	26.4116	12.777	27.697	26.314	25.704	23.123	26.531	22.374	27.274	24.49	25.1673	15.483	18.369	19.616	17.8227																	
K22O_MOUSE	Keratin, type II cytoskeletal 2 oral OS=Mus musculus GN=Krt76 PE=2 SV=1	63 kDa	0.07	Q3UV17		6.7	8.6552	3.2892	12.812	1.1215	6.5156	6.8798	8.6552	3.2892	12.852	7.9191	4.7377	0	5.0507	6.1225	3.9777	0	0.7987	0	0.2662																	
PGM1_MOUSE	Phosphoglucomutase-1 OS=Mus musculus GN=Pgm1 PE=1 SV=4	61 kDa	0.07	Q9D0F9		3.8286	1.731	3.2892	3.4941	0	2.4686	0	1.731	3.2892	2.3367	1.8392	2.8426	4.6613	4.0406	2.449	3.4984	5.7044	4.7919	3.5666	4.6876																	
LMOD1_MOUSE	Leiomodin-1 OS=Mus musculus GN=Lmod1 PE=2 SV=1	66 kDa	0.071	Q8BVA4		10.529	6.9242	7.6749	6.9882	6.7289	7.769	3.9313	6.9242	7.6749	0	4.6326	9.4755	7.458	8.0811	14.694	9.9272	10.594	10.382	7.1332	9.3697																	
ALDR_MOUSE	Aldose reductase OS=Mus musculus GN=Akr1b1 PE=1 SV=3	36 kDa	0.072	P45376		7.6571	2.5966	5.4821	5.8235	8.9719	6.1062	0	2.5966	5.4821	2.3367	2.6039	4.7377	3.729	4.0406	2.449	3.7391	5.7044	4.7919	5.3499	5.2821																	
ENTP2_MOUSE	Ectonucleoside triphosphate diphosphohydrolase 2 OS=Mus musculus GN=Entpd2 PE=1 SV=2	54 kDa	0.072	O55026		2.8714	3.4621	2.1928	1.1647	1.1215	2.1625	4.9142	3.4621	2.1928	0	2.6423	5.6853	4.6613	2.0203	4.898	4.3162	0.8149	0.7987	1.7833	1.1323																	
TMED9_MOUSE	Transmembrane emp24 domain-containing protein 9 OS=Mus musculus GN=Tmed9 PE=2 SV=2	27 kDa	0.074	Q99KF1		0	0	0	0	0	0	0	0	0	0	0	0	0.9323	0	0	0.2331	1.6298	0.7987	0	0.8095																	
CNN3_MOUSE	Calponin-3 OS=Mus musculus GN=Cnn3 PE=1 SV=1	36 kDa	0.076	Q9DAW9		4.7857	5.1931	2.1928	5.8235	12.336	6.0662	0.9828	5.1931	2.1928	5.8418	3.5526	10.423	3.729	5.0507	0	4.8007	14.669	14.376	6.2415	11.7622																	
FMO3_MOUSE	Dimethylaniline monooxygenase [N-oxide-forming] 3 OS=Mus musculus GN=Fmo3 PE=1 SV=1	61 kDa	0.076	P97501		3.8286	3.4621	3.2892	4.6588	0	3.0477	0	3.4621	3.2892	0	1.6878	0.9476	0.9323	0	0	0.47	0.8149	0	0.8917	0.5689																	
ACADS_MOUSE	Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acads PE=1 SV=2	45 kDa	0.078	Q07417		0	0	0	0	0	0	0	0	0	0	0	0.9476	0	0	1.2245	0.543	0	0	0	0																	
K2C1B_MOUSE	Keratin, type II cytoskeletal 1b OS=Mus musculus GN=Krt77 PE=1 SV=1	61 kDa	0.078	Q6IFZ6		0	20.773	0	34.941	0	11.1428	0	20.773	0	29.209	12.4955	25.584	20.51	29.294	31.837	26.8063	0	0	0	0																	
DUS3_MOUSE	Dual specificity protein phosphatase 3 OS=Mus musculus GN=Dusp3 PE=1 SV=1	20 kDa	0.079	Q9D7X3		0	1.731	2.1928	1.1647	3.3644	1.6906	0	1.731	2.1928	0	0.981	0	0.9323	1.0101	0	0.4856	5.7044	0	8.0248	4.5764																	
SSRA_MOUSE	Translocon-associated protein subunit alpha OS=Mus musculus GN=Ssr1 PE=1 SV=1	32 kDa	0.081	Q9CY50		0	0	0	0	2.243	0.4486	0	0	0	0	0	0	0	0	0	0	2.4448	2.3959	0	1.6136																	
RS3_MOUSE	40S ribosomal protein S3 OS=Mus musculus GN=Rps3 PE=1 SV=1	27 kDa	0.084	P62908		6.7	7.7897	6.5785	4.6588	11.215	7.3884	0.9828	7.7897	6.5785	3.5051	4.714	3.7902	1.8645	3.0304	0	2.1713	8.9641	9.5838	1.7833	6.7771																	
ANT3_MOUSE	Antithrombin-III OS=Mus musculus GN=Serpinc1 PE=1 SV=1	52 kDa	0.087	P32261		3.8286	3.4621	2.1928	4.6588	0	2.8285	4.9142	3.4621	2.1928	5.8418	4.1027	3.7902	5.5935	2.0203	1.2245	3.1571	0.8149	0.7987	0	0.5379		Blood_Coagulation			Blood_Coagulation												
CH60_MOUSE	60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1	61 kDa	0.087	P63038		14.357	13.848	8.7713	12.812	7.8504	11.5277	5.897	13.848	8.7713	19.862	12.0946	7.5804	9.3226	12.122	11.02	10.0113	5.7044	3.9932	4.4582	4.7186																	
MYPT2_MOUSE	Protein phosphatase 1 regulatory subunit 12B OS=Mus musculus GN=Ppp1r12b PE=1 SV=2	109 kDa	0.087	Q8BG95		1.9143	1.731	0	1.1647	0	0.962	0	1.731	0	0	0.4328	0.9476	0.9323	3.0304	2.449	1.8398	4.0746	1.5973	1.7833	2.4851																	
UCHL1_MOUSE	Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Mus musculus GN=Uchl1 PE=1 SV=1	25 kDa	0.088	Q9R0P9		0	1.731	2.1928	1.1647	4.4859	1.9149	0	1.731	2.1928	0	0.981	0.9476	1.8645	2.0203	1.2245	1.5142	4.0746	6.3892	1.7833	4.0824		Parkinson													Parkinson		
CPNS1_MOUSE	Calpain small subunit 1 OS=Mus musculus GN=Capns1 PE=2 SV=1	28 kDa	0.089	O88456		0	0	0	0	1.1215	0.2243	0	0	0	0	0	0	0.9323	0	0	0.2331	1.6298	0	1.7833	1.1377		Huntington										Huntington					
NDUS1_MOUSE	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus GN=Ndufs1 PE=1 SV=2	80 kDa	0.09	Q91VD9		0	0	1.0964	0	0	0.2193	0	0	1.0964	0	0.2741	0.9476	3.729	1.0101	1.2245	1.7278	1.6298	0	0	0.5433																	
ANXA3_MOUSE	Annexin A3 OS=Mus musculus GN=Anxa3 PE=1 SV=4	36 kDa	0.091	O35639		4.7857	6.9242	10.964	8.1528	16.822	9.5297	4.9142	6.9242	10.964	7.0101	7.4531	9.4755	8.3903	6.0608	7.3469	7.8184	16.298	13.577	11.591	13.822																	
PTGIS_MOUSE	Prostacyclin synthase OS=Mus musculus GN=Ptgis PE=2 SV=1	57 kDa	0.091	O35074		26.8	28.562	26.314	31.447	20.187	26.662	7.8627	28.562	26.314	25.704	22.1107	21.794	22.374	21.213	28.163	23.386	14.669	11.98	17.833	14.8273																	
HCD2_MOUSE	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus GN=Hsd17b10 PE=1 SV=4	27 kDa	0.098	O08756		0.9571	1.731	0	3.4941	2.243	1.685	0.9828	1.731	0	0	0.6785	0.9476	1.8645	2.0203	1.2245	1.5142	3.2597	3.1946	1.7833	2.7459																	
IBP7_MOUSE	Insulin-like growth factor-binding protein 7 OS=Mus musculus GN=Igfbp7 PE=2 SV=3	29 kDa	0.098	Q61581		0.9571	1.731	1.0964	1.1647	1.1215	1.2141	0	1.731	1.0964	0	0.7069	0	0	0	0	0	0.8149	2.3959	0	1.0703																	
ANXA5_MOUSE	Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1	36 kDa	0.099	P48036		33.5	31.159	40.567	31.447	60.56	39.4466	29.485	31.159	40.567	50.239	37.8625	30.321	27.968	22.223	12.245	23.1893	39.931	37.536	36.557	38.008																	
RAB5A_MOUSE	Ras-related protein Rab-5A OS=Mus musculus GN=Rab5a PE=1 SV=1	24 kDa	0.099	Q9CQD1		0	0	0	0	3.3644	0.6729	0	0	0	0	0	1.8951	1.8645	3.0304	1.2245	2.0036	0	2.3959	3.5666	1.9875																	
CYC_MOUSE	Cytochrome c, somatic OS=Mus musculus GN=Cycs PE=1 SV=2	12 kDa	0.1	P62897		0.9571	0.8655	1.0964	1.1647	3.3644	1.4896	0.9828	0.8655	1.0964	1.1684	1.0283	0.9476	1.8645	1.0101	1.2245	1.2617	3.2597	1.5973	2.6749	2.5106		ATP_Synthesis		ATP_Synthesis													
ELAV1_MOUSE	ELAV-like protein 1 OS=Mus musculus GN=Elavl1 PE=1 SV=2	36 kDa	0.1	P70372		1.9143	0.8655	1.0964	0	1.1215	0.9995	0	0.8655	1.0964	0	0.4905	0	0	0	0	0	2.4448	1.5973	0	1.3474																	
FBLN5_MOUSE	Fibulin-5 OS=Mus musculus GN=Fbln5 PE=2 SV=1	50 kDa	0.1	Q9WVH9		35.414	32.024	41.664	39.6	32.523	36.245	23.588	32.024	41.664	33.882	32.7895	51.168	41.951	38.385	41.633	43.2843	44.821	35.939	37.449	39.403																	
LXN_MOUSE	Latexin OS=Mus musculus GN=Lxn PE=1 SV=2	25 kDa	0.1	P70202		1.9143	1.731	3.2892	1.1647	3.3644	2.2927	0	1.731	3.2892	1.1684	1.5472	0.9476	0.9323	0	0	0.47	2.4448	1.5973	0.8917	1.6446																	
MDHM_MOUSE	Malate dehydrogenase, mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3	36 kDa	0.1	P08249		13.4	11.252	9.8677	9.3175	35.887	15.9448	4.9142	11.252	9.8677	11.684	9.4295	11.371	10.255	10.101	2.449	8.544	31.782	23.959	14.266	23.3357																	
MUC18_MOUSE	Cell surface glycoprotein MUC18 OS=Mus musculus GN=Mcam PE=1 SV=1	72 kDa	0.1	Q8R2Y2		1.9143	1.731	2.1928	2.3294	0	1.6335	0.9828	1.731	2.1928	2.3367	1.8108	0.9476	0.9323	1.0101	0	0.7225	4.0746	3.1946	0.8917	2.7203																	
PRELP_MOUSE	Prolargin OS=Mus musculus GN=Prelp PE=1 SV=2	43 kDa	0.1	Q9JK53		33.5	34.621	40.567	37.27	31.401	35.4718	25.554	34.621	40.567	38.556	34.8245	38.849	32.629	26.264	24.49	30.558	23.633	25.557	28.533	25.9077																	
ARF1_MOUSE	ADP-ribosylation factor 1 OS=Mus musculus GN=Arf1 PE=1 SV=2	21 kDa	0.11	P84078		2.8714	2.5966	2.1928	2.3294	5.6074	3.1195	1.9657	2.5966	2.1928	1.1684	1.9809	7.5804	8.3903	4.0406	2.449	5.6151	6.5194	1.5973	3.5666	3.8944		Huntington, Integrin										Huntington	Integrin				
ARP3_MOUSE	Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3	47 kDa	0.11	Q99JY9		3.8286	3.4621	3.2892	1.1647	4.4859	3.2461	1.9657	3.4621	3.2892	0	2.1793	2.8426	3.729	3.0304	1.2245	2.7066	0	1.5973	0.8917	0.8297																	
GBLP_MOUSE	Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Mus musculus GN=Gnb2l1 PE=1 SV=3	35 kDa	0.11	P68040		0.9571	0.8655	2.1928	1.1647	1.1215	1.2603	0	0.8655	2.1928	0	0.7646	0	0	0	0	0	0.8149	1.5973	0	0.8041																	
MIF_MOUSE	Macrophage migration inhibitory factor OS=Mus musculus GN=Mif PE=1 SV=2	13 kDa	0.11	P34884		0	0	0	1.1647	2.243	0.6815	0	0	0	0	0	0	0	0	0	0	0	1.5973	2.6749	1.4241																	
MYH10_MOUSE	Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2	229 kDa	0.11	Q61879		52.643	51.066	66.881	68.717	50.467	57.9548	55.039	51.066	66.881	42.061	53.7618	54.01	53.139	63.639	61.225	58.0033	62.749	76.67	72.223	70.5473		Chemokine_Cytokine_Signaling, Cytoskeleton, Nicotinic_Acetylcholine				Chemokine_Cytokine_Signaling	Cytoskeleton							Nicotinic_Acetylcholine			
TPM2_MOUSE	Tropomyosin beta chain OS=Mus musculus GN=Tpm2 PE=1 SV=1	33 kDa	0.11	P58774		73.7	57.124	62.496	48.917	112.15	70.8774	35.382	57.124	62.496	71.27	56.568	50.22	41.019	50.507	23.265	41.2528	66.008	95.838	63.307	75.051																	
6PGL_MOUSE	6-phosphogluconolactonase OS=Mus musculus GN=Pgls PE=2 SV=1	27 kDa	0.12	Q9CQ60		0	0.8655	1.0964	0	1.1215	0.6167	0	0.8655	1.0964	0	0.4905	0	0	0	0	0	2.4448	1.5973	0	1.3474																	
ATPD_MOUSE	ATP synthase subunit delta, mitochondrial OS=Mus musculus GN=Atp5d PE=1 SV=1	18 kDa	0.12	Q9D3D9		0.9571	0.8655	1.0964	2.3294	3.3644	1.7226	2.9485	0.8655	1.0964	3.5051	2.1039	0.9476	0	2.0203	0	0.742	0	0.7987	0	0.2662																	
H2B1P_MOUSE	Histone H2B type 1-P OS=Mus musculus GN=Hist1h2bp PE=1 SV=3	14 kDa	0.12	Q8CGP2		13.4	16.445	13.157	13.976	26.916	16.7788	20.639	16.445	13.157	47.903	24.536	29.374	31.697	29.294	31.837	30.5505	19.558	15.174	16.05	16.9273																	
IDHC_MOUSE	Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus GN=Idh1 PE=1 SV=2	47 kDa	0.12	O88844		2.8714	2.5966	3.2892	0	2.243	2.2	0	2.5966	3.2892	0	1.4715	0	0	0	0	0	0.8149	2.3959	0	1.0703																	
NB5R3_MOUSE	NADH-cytochrome b5 reductase 3 OS=Mus musculus GN=Cyb5r3 PE=1 SV=3	34 kDa	0.12	Q9DCN2		17.229	11.252	21.928	13.976	14.579	15.7928	2.9485	11.252	21.928	3.5051	9.9084	5.6853	9.3226	8.0811	1.2245	6.0784	14.669	13.577	8.0248	12.0903																	
RPN1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=2 SV=1	69 kDa	0.12	Q91YQ5		0.9571	1.731	1.0964	0	0	0.7569	0	1.731	1.0964	0	0.7069	2.8426	3.729	1.0101	1.2245	2.2016	1.6298	3.1946	0.8917	1.9054																	
RS4X_MOUSE	40S ribosomal protein S4, X isoform OS=Mus musculus GN=Rps4x PE=2 SV=2	30 kDa	0.12	P62702		2.8714	1.731	2.1928	3.4941	3.3644	2.7307	0	1.731	2.1928	0	0.981	1.8951	2.7968	1.0101	1.2245	1.7316	0.8149	2.3959	3.5666	2.2591																	
S10A4_MOUSE	Protein S100-A4 OS=Mus musculus GN=S100a4 PE=1 SV=1	12 kDa	0.12	P07091		0	0.8655	0	0	1.1215	0.3974	2.9485	0.8655	0	1.1684	1.2456	0	0	0	0	0	0.8149	0.7987	0.8917	0.8351																	
TBA1A_MOUSE	Tubulin alpha-1A chain OS=Mus musculus GN=Tuba1a PE=1 SV=1	50 kDa	0.12	P68369		33.5	44.142	48.242	43.094	28.037	39.403	105.16	44.142	48.242	50.239	61.9458	45.482	37.29	26.264	39.184	37.055	35.856	31.147	39.232	35.4117																	
