Accession_Number	Identified Proteins (551)	Molecular Weight Aorta	Aorta ANOVA Test (P-Value	Classification		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN	Molecular Weight Coro	Coro ANOVA Test (P-Value		18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN	Entry	All_Pathways	Pathway	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle	Gene_names
ATPA_MOUSE	ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1	60 kDa	0.003			37.328	40.68	40.567	41.929	32.523	38.6054	40.296	40.68	40.567	46.734	42.0693	39.797	36.358	37.375	45.306	39.709	27.707	21.563	32.991	27.4203	60 kDa	0.033		128.22	159.11	152.63	112.74	104.39	131.418	109.92	82.447	100.36	94.872	96.8998	115.01	148.66	130.32	110.41	126.1	105.94	101.94	96.341	101.407	Q03265	ATP_Synthesis	ATP_Synthesis	ATP_Synthesis														Atp5a1
ATPB_MOUSE	ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2	56 kDa	0.35			39.243	41.545	46.049	41.929	41.495	42.0522	60.936	41.545	46.049	26.872	43.8505	42.64	43.816	43.436	45.306	43.7995	30.967	35.14	37.449	34.5187	56 kDa	0.012		118.56	149.65	144.55	106.17	109.77	125.74	115.77	93.69	96.729	107.01	103.2998	134.18	173.9	146.22	128.82	145.78	108.33	100.95	109.19	106.1567	P56480	ATP_Synthesis	ATP_Synthesis	ATP_Synthesis														Atp5b
ATPD_MOUSE	ATP synthase subunit delta, mitochondrial OS=Mus musculus GN=Atp5d PE=1 SV=1	18 kDa	0.12			0.9571	0.8655	1.0964	2.3294	3.3644	1.7226	2.9485	0.8655	1.0964	3.5051	2.1039	0.9476	0	2.0203	0	0.742	0	0.7987	0	0.2662	18 kDa	0.39		6.1477	6.0206	8.0802	5.4728	4.3049	6.0052	8.1859	6.246	7.2547	1.1032	5.6975	5.6378	5.6096	2.1191	2.165	3.8829	3.1863	4.9973	4.2818	4.1551	Q9D3D9																	
ATPG_MOUSE	ATP synthase subunit gamma, mitochondrial OS=Mus musculus GN=Atp5c1 PE=1 SV=1	33 kDa	0.047			2.8714	2.5966	2.1928	2.3294	2.243	2.4466	0	2.5966	2.1928	0	1.1974	0	0.9323	1.0101	0	0.4856	1.6298	2.3959	0	1.3419	33 kDa	0.0021		8.7824	9.4609	7.1824	7.662	6.4573	7.909	0	0	0	7.7221	1.9305	3.3827	3.7398	3.1786	1.0825	2.8459	11.152	7.9957	7.4932	8.8803	Q91VR2	ATP_Synthesis	ATP_Synthesis	ATP_Synthesis														Atp5c1
ATPO_MOUSE	ATP synthase subunit O, mitochondrial OS=Mus musculus GN=Atp5o PE=1 SV=1	23 kDa	0.42			0	1.731	2.1928	0	1.1215	1.0091	0.9828	1.731	2.1928	2.3367	1.8108	1.8951	1.8645	3.0304	2.449	2.3098	5.7044	0.7987	0.8917	2.4649	23 kDa	0.069		7.9042	9.4609	10.774	5.4728	10.762	8.8748	12.863	6.246	6.0456	2.2063	6.8402	10.148	15.894	11.655	14.072	12.9423	11.948	8.9951	9.6341	10.1924	Q9DB20																	
BGH3_MOUSE	Transforming growth factor-beta-induced protein ig-h3 OS=Mus musculus GN=Tgfbi PE=2 SV=1	75 kDa	0.022	ECM		0.9571	0.8655	1.0964	1.1647	2.243	1.2654	4.9142	0.8655	1.0964	3.5051	2.5953	7.5804	5.5935	2.0203	4.898	5.0231	2.4448	1.5973	1.7833	1.9418	75 kDa	0.55		0	0.8601	0	0	0	0.172	0	0	0	4.4126	1.1032	0	0	0	0	0	0	0.9995	0	0.3332	P82198																	
CALR_MOUSE	Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1	48 kDa	0.28			0	0	0	0	0	0	7.8627	0	0	1.1684	2.2578	0	0	0	0	0	0	0	0	0	48 kDa	0.7		1.7565	0	0	0	0	0.3513	0	0	0	1.1032	0.2758	0	0	0	0	0	0	0	0	0	P14211																	
CAP1_MOUSE	Adenylyl cyclase-associated protein 1 OS=Mus musculus GN=Cap1 PE=1 SV=4	52 kDa	0.66			6.7	8.6552	10.964	10.482	6.7289	8.706	4.9142	8.6552	10.964	7.0101	7.8859	8.5279	3.729	7.071	8.5714	6.9748	7.3343	7.1878	8.0248	7.5156	52 kDa	0.74		0.8782	0.8601	0	0	0	0.3477	0	2.4984	0	0	0.6246	1.1276	0	0	0	0.2819	0	0	0	0	P40124																	
CAPZB_MOUSE	F-actin-capping protein subunit beta OS=Mus musculus GN=Capzb PE=1 SV=3	31 kDa	0.037			4.7857	3.4621	3.2892	3.4941	0	3.0062	2.9485	3.4621	3.2892	2.3367	3.0091	0	1.8645	1.0101	0	0.7187	1.6298	1.5973	1.7833	1.6701	31 kDa	0.47		0.8782	0	0.8978	0	0	0.3552	0	0	0	1.1032	0.2758	0	0	0	0	0	0	0	0	0	P47757																	
CAZA2_MOUSE	F-actin-capping protein subunit alpha-2 OS=Mus musculus GN=Capza2 PE=1 SV=3	33 kDa	0.0014			1.9143	2.5966	2.1928	2.3294	2.243	2.2552	0.9828	2.5966	2.1928	1.1684	1.7352	0.9476	1.8645	0	1.2245	1.0091	4.8895	4.7919	2.6749	4.1188	33 kDa	0.026		0.8782	1.7202	0.8978	2.1891	1.0762	1.3523	2.3388	1.2492	0	0	0.897	0	0	0	0	0	0	0	0	0	P47754																	
CBR2_MOUSE	Carbonyl reductase [NADPH] 2 OS=Mus musculus GN=Cbr2 PE=1 SV=1	26 kDa	0.88			8.6143	6.0587	7.6749	6.9882	10.093	7.8858	5.897	6.0587	7.6749	10.515	7.5364	5.6853	8.3903	7.071	8.5714	7.4295	5.7044	7.9865	7.1332	6.9414	26 kDa	0.31		0.8782	0.8601	0.8978	0	0	0.5272	0	0	0	1.1032	0.2758	4.5102	0.9349	0	1.0825	1.6319	0	0.9995	0	0.3332	P08074																	
CH10_MOUSE	10 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspe1 PE=1 SV=2	11 kDa	0.99			4.7857	1.731	1.0964	0	3.3644	2.1955	1.9657	1.731	1.0964	3.5051	2.0746	0.9476	1.8645	3.0304	2.449	2.0729	1.6298	2.3959	1.7833	1.9363	11 kDa	0.45		0.8782	0.8601	2.6934	2.1891	4.3049	2.1851	0	2.4984	2.4182	0	1.2292	2.2551	0.9349	1.0595	1.0825	1.333	0.7966	0.9995	1.0705	0.9555	Q64433																	
CH60_MOUSE	60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1	61 kDa	0.087			14.357	13.848	8.7713	12.812	7.8504	11.5277	5.897	13.848	8.7713	19.862	12.0946	7.5804	9.3226	12.122	11.02	10.0113	5.7044	3.9932	4.4582	4.7186	61 kDa	0.012		7.9042	14.621	13.467	7.662	9.6859	10.668	10.525	6.246	4.8365	6.619	7.0566	13.531	14.959	10.595	12.99	13.0188	6.3725	7.9957	6.4227	6.9303	P63038																	
CHCH3_MOUSE	Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial OS=Mus musculus GN=Chchd3 PE=1 SV=1	26 kDa	0.45			1.9143	2.5966	0	0	0	0.9022	0	2.5966	0	1.1684	0.9413	0	0	0	0	0	0.8149	0	0	0.2716	26 kDa	0.058		4.3912	7.7407	7.1824	7.662	1.0762	5.6105	0	0	0	5.5158	1.379	3.3827	2.8048	2.1191	0	2.0767	2.3897	1.9989	1.0705	1.8197	Q9CRB9																	
CISD1_MOUSE	CDGSH iron-sulfur domain-containing protein 1 OS=Mus musculus GN=Cisd1 PE=1 SV=1	12 kDa	0.24			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6298	0	0	0.5433	12 kDa	0.18		3.513	1.7202	1.7956	3.2837	2.1524	2.493	3.5082	3.7476	1.2091	0	2.1162	0	0.9349	1.0595	1.0825	0.7692	0.7966	1.9989	2.1409	1.6455	Q91WS0																	
CISY_MOUSE	Citrate synthase, mitochondrial OS=Mus musculus GN=Cs PE=1 SV=1	52 kDa	0.98			3.8286	4.3276	6.5785	0	3.3644	3.6198	0	4.3276	6.5785	1.1684	3.0186	4.7377	5.5935	4.0406	0	3.593	3.2597	2.3959	4.4582	3.3713	52 kDa	0.088		15.808	14.621	15.263	8.7565	12.915	13.4727	12.863	1.2492	6.0456	9.9284	7.5216	9.0205	11.219	9.5359	7.5774	9.3382	12.745	8.9951	9.6341	10.4581	Q9CZU6	Pyruvate_Metabolism, TCA_Cycle	Pyruvate_Metabolism													Pyruvate_Metabolism	TCA_Cycle	Cs
CKAP4_MOUSE	Cytoskeleton-associated protein 4 OS=Mus musculus GN=Ckap4 PE=2 SV=2	64 kDa	0.53			0.9571	0	0	2.3294	0	0.6573	18.674	0	0	1.1684	4.9606	3.7902	0.9323	0	1.2245	1.4867	0	1.5973	0	0.5324	64 kDa	0.43		0	0	0	0	0	0	0	0	0	29.785	7.4463	0	0	0	0	0	0	0	0	0	Q8BMK4																	
CLIC1_MOUSE	Chloride intracellular channel protein 1 OS=Mus musculus GN=Clic1 PE=1 SV=3	27 kDa	0.19			0.9571	1.731	4.3856	0	2.243	1.8633	0	1.731	4.3856	1.1684	1.8213	0	0	0	0	0	1.6298	1.5973	1.7833	1.6701	27 kDa	0.78		0	0	0.8978	0	0	0.1796	0	0	0	0	0	0	0.9349	0	0	0.2337	0.7966	0	0	0.2655	Q9Z1Q5																	
CLIC4_MOUSE	Chloride intracellular channel protein 4 OS=Mus musculus GN=Clic4 PE=1 SV=3	29 kDa	0.13			4.7857	1.731	3.2892	1.1647	3.3644	2.867	0	1.731	3.2892	1.1684	1.5472	3.7902	1.8645	0	0	1.4137	3.2597	4.7919	3.5666	3.8727	29 kDa	0.48		0.8782	0	0.8978	0	0	0.3552	0	0	0	0	0	1.1276	0	0	0	0.2819	0	0	0	0	Q9QYB1																	
CMC1_MOUSE	Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus GN=Slc25a12 PE=1 SV=1	75 kDa	0.43			0	0	0	0	0	0	0	0	0	0	0	0.9476	0	0	0	0.2369	0	0	0	0	75 kDa	0.69		2.6347	6.8806	4.489	5.4728	3.2286	4.5411	9.3553	3.7476	2.4182	1.1032	4.1561	5.6378	4.6747	6.3573	2.165	4.7087	3.1863	2.9984	2.1409	2.7752	Q8BH59																	
CO3_MOUSE	Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3	186 kDa	0.18			0.9571	0.8655	1.0964	0	0	0.5838	0	0.8655	1.0964	1.1684	0.7826	0	0	0	0	0	1.6298	0.7987	0	0.8095	186 kDa	0.029		3.513	4.3004	1.7956	6.5674	1.0762	3.4505	1.1694	1.2492	0	0	0.6047	0	0	1.0595	0	0.2649	2.3897	0	3.2114	1.867	P01027																	
COX2_MOUSE	Cytochrome c oxidase subunit 2 OS=Mus musculus GN=Mtco2 PE=1 SV=1	26 kDa	0.39			0	2.5966	2.1928	2.3294	2.243	1.8724	0	2.5966	2.1928	1.1684	1.4895	2.8426	3.729	2.0203	2.449	2.7602	2.4448	2.3959	0	1.6136	26 kDa	0.0055		8.7824	8.6008	8.978	10.946	10.762	9.6138	3.5082	1.2492	3.6273	7.7221	4.0267	7.8929	8.4144	7.4168	8.6599	8.096	10.355	6.9962	5.3523	7.5678	P00405																	
COX41_MOUSE	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Mus musculus GN=Cox4i1 PE=1 SV=2	20 kDa	0.33			1.9143	1.731	2.1928	2.3294	2.243	2.0821	0.9828	1.731	2.1928	2.3367	1.8108	1.8951	0.9323	2.0203	0	1.2119	2.4448	0.7987	1.7833	1.6756	20 kDa	0.2		11.417	12.041	10.774	8.7565	16.143	11.8263	14.033	7.4952	8.4638	0	7.498	7.8929	9.3494	6.3573	3.2475	6.7118	8.7622	9.9946	5.3523	8.0364	P19783																	
COX5A_MOUSE	Cytochrome c oxidase subunit 5A, mitochondrial OS=Mus musculus GN=Cox5a PE=1 SV=2	16 kDa	0.051			1.9143	1.731	1.0964	3.4941	2.243	2.0958	0	1.731	1.0964	1.1684	0.999	0.9476	0.9323	0	1.2245	0.7761	1.6298	1.5973	1.7833	1.6701	16 kDa	0.46		6.1477	10.321	7.1824	4.3783	9.6859	7.5431	12.863	11.243	9.6729	0	8.4447	5.6378	7.4795	5.2977	5.4124	5.9569	4.7794	3.9978	5.3523	4.7098	P12787																	
COX6C_MOUSE	Cytochrome c oxidase subunit 6C OS=Mus musculus GN=Cox6c PE=1 SV=3	8 kDa	0.48			0	0	0	0	0	0	0	0	0	1.1684	0.2921	0	0	0	0	0	0	0	0.8917	0.2972	8 kDa	0.0005		2.6347	1.7202	2.6934	2.1891	2.1524	2.278	7.0164	6.246	6.0456	2.2063	5.3786	1.1276	0.9349	0	1.0825	0.7863	1.5931	0.9995	0	0.8642	Q9CPQ1																	
CPT2_MOUSE	Carnitine O-palmitoyltransferase 2, mitochondrial OS=Mus musculus GN=Cpt2 PE=1 SV=2	74 kDa	0.43			0	0	0	0	0	0	0	0	0	1.1684	0.2921	0	0	0	0	0	0	0	0	0	74 kDa	0.0021		2.6347	3.4403	4.489	2.1891	3.2286	3.1963	2.3388	0	0	0	0.5847	0	0.9349	2.1191	1.0825	1.0341	0	0.9995	0	0.3332	P52825																	
CRIP2_MOUSE	Cysteine-rich protein 2 OS=Mus musculus GN=Crip2 PE=1 SV=1	23 kDa	0.38			0	2.5966	0	2.3294	0	0.9852	0	2.5966	0	0	0.6492	1.8951	0	2.0203	0	0.9789	2.4448	2.3959	1.7833	2.208	23 kDa	0.18		0.8782	0	0	0	0	0.1756	0	0	0	0	0	1.1276	0	0	0	0.2819	1.5931	0.9995	0	0.8642	Q9DCT8																	
CSPG2_MOUSE	Versican core protein OS=Mus musculus GN=Vcan PE=1 SV=2	367 kDa	0.43	ECM		0	0	0	0	0	0	32.433	0	0	0	8.1083	0	0	0	0	0	0.8149	0	0	0.2716	367 kDa	0.0011		0	0	0	0	0	0	22.219	19.987	9.6729	45.23	24.2772	0	0	0	0	0	0	0	0	0	Q62059																	
CSRP1_MOUSE	Cysteine and glycine-rich protein 1 OS=Mus musculus GN=Csrp1 PE=1 SV=3	21 kDa	0.14			6.7	10.386	6.5785	10.482	17.944	10.4181	5.897	10.386	6.5785	8.1785	7.76	12.318	13.052	17.172	26.939	17.3703	17.928	3.1946	16.941	12.6879	21 kDa	0.011		18.443	19.782	9.8759	15.324	18.296	16.3442	15.202	14.99	6.0456	12.135	12.0932	19.169	16.829	19.072	21.65	19.18	19.914	22.988	23.55	22.1507	P97315																	
CSRP2_MOUSE	Cysteine and glycine-rich protein 2 OS=Mus musculus GN=Csrp2 PE=1 SV=3	21 kDa	0.38			4.7857	4.3276	3.2892	2.3294	12.336	5.4136	6.8798	4.3276	3.2892	2.3367	4.2083	5.6853	4.6613	9.0913	8.5714	7.0023	10.594	3.9932	9.8081	8.1318	21 kDa	0.089		7.0259	5.1605	2.6934	3.2837	4.3049	4.4937	4.6776	2.4984	0	1.1032	2.0698	3.3827	2.8048	3.1786	8.6599	4.5065	3.1863	9.9946	9.6341	7.605	P97314																	
CX7A2_MOUSE	Cytochrome c oxidase subunit 7A2, mitochondrial OS=Mus musculus GN=Cox7a2 PE=1 SV=2	9 kDa	0.38			0.9571	0	0	0	2.243	0.64	0.9828	0	0	1.1684	0.5378	0	0	0	0	0	0	0	0	0	9 kDa	0.0007		0.8782	1.7202	0.8978	0	0	0.6992	2.3388	3.7476	6.0456	2.2063	3.5846	0	0	0	0	0	0	0	0	0	P48771																	
CY1_MOUSE	Cytochrome c1, heme protein, mitochondrial OS=Mus musculus GN=Cyc1 PE=1 SV=1	35 kDa	0.68			0	0	1.0964	0	0	0.2193	0	0	1.0964	0	0.2741	0	0	0	0	0	0	0	0	0	35 kDa	0.0064		2.6347	3.4403	3.5912	1.0946	2.1524	2.5826	1.1694	0	0	3.3095	1.1197	0	0	0	1.0825	0.2706	5.576	2.9984	3.2114	3.9286	Q9D0M3	ATP_Synthesis, Huntington	ATP_Synthesis	ATP_Synthesis								Huntington						Cyc1
CYC_MOUSE	Cytochrome c, somatic OS=Mus musculus GN=Cycs PE=1 SV=2	12 kDa	0.1			0.9571	0.8655	1.0964	1.1647	3.3644	1.4896	0.9828	0.8655	1.0964	1.1684	1.0283	0.9476	1.8645	1.0101	1.2245	1.2617	3.2597	1.5973	2.6749	2.5106	12 kDa	0.23		2.6347	1.7202	4.489	4.3783	4.3049	3.5054	7.0164	2.4984	3.6273	0	3.2855	0	0	0	3.2475	0.8119	1.5931	4.9973	2.1409	2.9104	P62897	ATP_Synthesis	ATP_Synthesis	ATP_Synthesis														Cycs
DECR_MOUSE	2,4-dienoyl-CoA reductase, mitochondrial OS=Mus musculus GN=Decr1 PE=1 SV=1	36 kDa	0.15			4.7857	2.5966	6.5785	3.4941	4.4859	4.3882	0	2.5966	6.5785	2.3367	2.878	1.8951	1.8645	0	0	0.9399	4.8895	4.7919	0	3.2271	36 kDa	0.008		7.0259	7.7407	13.467	8.7565	8.6097	9.12	0	0	1.2091	7.7221	2.2328	3.3827	6.5446	5.2977	6.4949	5.43	10.355	6.9962	8.5636	8.6383	Q9CQ62																	
DEST_MOUSE	Destrin OS=Mus musculus GN=Dstn PE=1 SV=3	19 kDa	0.011			2.8714	9.5207	7.6749	5.8235	15.701	8.3183	1.9657	9.5207	7.6749	5.8418	6.2508	21.794	22.374	23.233	19.592	21.7483	24.448	4.7919	32.099	20.4463	19 kDa	0.0054		2.6347	3.4403	5.3868	5.4728	7.5335	4.8936	7.0164	1.2492	1.2091	3.3095	3.1961	9.0205	9.3494	7.4168	11.907	9.4234	6.3725	5.9968	6.4227	6.264	Q9R0P5																	
DHE3_MOUSE	Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus GN=Glud1 PE=1 SV=1	61 kDa	0.46			5.7428	8.6552	6.5785	8.1528	6.7289	7.1716	5.897	8.6552	6.5785	12.852	8.4957	7.5804	3.729	9.0913	4.898	6.3247	4.8895	6.3892	7.1332	6.1373	61 kDa	0.4		6.1477	6.0206	3.5912	3.2837	0	3.8086	1.1694	1.2492	2.4182	1.1032	1.485	3.3827	0	5.2977	6.4949	3.7938	1.5931	4.9973	3.2114	3.2673	P26443																	
DHSA_MOUSE	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus GN=Sdha PE=1 SV=1	73 kDa	0.8			0.9571	0.8655	1.0964	0	1.1215	0.8081	0.9828	0.8655	1.0964	2.3367	1.3204	0.9476	2.7968	0	0	0.9361	2.4448	1.5973	0	1.3474	73 kDa	0.01		8.7824	13.761	17.058	13.135	11.838	12.9149	16.372	11.243	6.0456	5.5158	9.7941	6.7654	2.8048	4.2382	3.2475	4.264	7.9657	5.9968	4.2818	6.0814																		
DLDH_MOUSE	Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2	54 kDa	0.0057			4.7857	5.1931	5.4821	3.4941	4.4859	4.6882	2.9485	5.1931	5.4821	4.6734	4.5743	2.8426	4.6613	2.0203	4.898	3.6056	2.4448	0.7987	0.8917	1.3784	54 kDa	0.031		12.295	11.181	14.365	8.7565	6.4573	10.611	9.3553	2.4984	3.6273	4.4126	4.9734	7.8929	12.154	9.5359	8.6599	9.5607	7.9657	4.9973	7.4932	6.8187	O08749																	
DPEP1_MOUSE	Dipeptidase 1 OS=Mus musculus GN=Dpep1 PE=1 SV=2	46 kDa	0.16			6.7	7.7897	6.5785	10.482	8.9719	8.1044	2.9485	7.7897	6.5785	4.6734	5.4975	5.6853	8.3903	3.0304	4.898	5.501	5.7044	7.1878	6.2415	6.3779	46 kDa	0.0094		4.3912	4.3004	5.3868	3.2837	3.2286	4.1181	2.3388	2.4984	1.2091	1.1032	1.7874	4.5102	2.8048	5.2977	3.2475	3.9651	3.9828	2.9984	4.2818	3.7543	P31428																	
DPYL2_MOUSE	Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2	62 kDa	0.047			7.6571	8.6552	9.8677	11.647	2.243	8.014	5.897	8.6552	9.8677	14.02	9.61	16.108	13.984	12.122	13.469	13.9208	8.1492	10.382	5.3499	7.9604	62 kDa	0.07		3.513	2.5802	2.6934	0	1.0762	1.9726	0	1.2492	0	0	0.3123	4.5102	0.9349	4.2382	1.0825	2.6915	3.1863	3.9978	2.1409	3.1083	O08553																	
DPYL3_MOUSE	Dihydropyrimidinase-related protein 3 OS=Mus musculus GN=Dpysl3 PE=1 SV=1	62 kDa	0.0013			8.6143	15.579	10.964	12.812	5.6074	10.7153	10.811	15.579	10.964	19.862	14.304	26.531	26.103	18.183	23.265	23.5205	13.039	12.778	10.7	12.1723	62 kDa	< 0.00010		3.513	3.4403	1.7956	1.0946	0	1.9687	0	0	0	0	0	12.403	7.4795	6.3573	8.6599	8.7249	3.9828	6.9962	6.4227	5.8006	Q62188																	
DUS3_MOUSE	Dual specificity protein phosphatase 3 OS=Mus musculus GN=Dusp3 PE=1 SV=1	20 kDa	0.079			0	1.731	2.1928	1.1647	3.3644	1.6906	0	1.731	2.1928	0	0.981	0	0.9323	1.0101	0	0.4856	5.7044	0	8.0248	4.5764	20 kDa	0.58		0.8782	0	0	0	0	0.1756	0	0	0	0	0	0	1.8699	0	0	0.4675	0	0	0	0	Q9D7X3																	
DYHC1_MOUSE	Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2	532 kDa	0.34			0.9571	3.4621	2.1928	2.3294	0	1.7883	0	3.4621	2.1928	0	1.4137	0.9476	0	0	0	0.2369	2.4448	0.7987	0.8917	1.3784	532 kDa	0.46		0	0	0	0	0	0	0	0	0	0	0	1.1276	0	0	0	0.2819	0	0	1.0705	0.3568	Q9JHU4	Huntington	Huntington									Huntington						Dync1h1 Dhc1 Dnch1 Dnchc1 Dyhc
ECH1_MOUSE	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus GN=Ech1 PE=1 SV=1	36 kDa	0.24			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8149	0	0	0.2716	36 kDa	0.0033		6.1477	4.3004	4.489	3.2837	2.1524	4.0746	0	0	0	3.3095	0.8274	0	1.8699	1.0595	0	0.7324	3.9828	3.9978	3.2114	3.7307	O35459																	
ECHA_MOUSE	Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1	83 kDa	0.96			10.529	13.848	17.543	3.4941	10.093	11.1014	10.811	13.848	17.543	0	10.5505	11.371	16.781	9.0913	9.7959	11.7598	13.854	6.3892	8.9165	9.7199	83 kDa	0.39		51.816	49.885	43.992	51.445	61.344	51.6964	56.132	39.975	90.684	52.952	59.9358	52.995	58.901	49.799	43.3	51.2488	54.963	35.981	36.395	42.4463	Q8BMS1																	
ECHB_MOUSE	Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus GN=Hadhb PE=1 SV=1	51 kDa	0.26			5.7428	2.5966	5.4821	1.1647	2.243	3.4458	0	2.5966	5.4821	1.1684	2.3118	0	1.8645	1.0101	1.2245	1.0248	2.4448	3.1946	2.6749	2.7714	51 kDa	0.041		21.956	20.642	17.956	14.229	11.838	17.3242	11.694	13.741	10.882	6.619	10.734	13.531	19.634	19.072	14.072	16.5773	18.321	16.991	17.127	17.4797	Q99JY0																	
ECHM_MOUSE	Enoyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Echs1 PE=1 SV=1	31 kDa	0.69			1.9143	0.8655	3.2892	0	1.1215	1.4381	0	0.8655	3.2892	1.1684	1.3308	0.9476	0.9323	0	1.2245	0.7761	1.6298	1.5973	1.7833	1.6701	31 kDa	0.23		1.7565	3.4403	3.5912	0	1.0762	1.9728	0	0	0	2.2063	0.5516	6.7654	4.6747	1.0595	1.0825	3.3955	3.1863	0.9995	2.1409	2.1089	Q8BH95																	
ECI1_MOUSE	Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus GN=Eci1 PE=1 SV=2	32 kDa	0.59			3.8286	3.4621	6.5785	0	6.7289	4.1196	0.9828	3.4621	6.5785	4.6734	3.9242	0	2.7968	0	4.898	1.9237	4.8895	4.7919	0.8917	3.5244	32 kDa	0.041		7.0259	12.901	18.854	12.04	9.6859	12.1014	3.5082	3.7476	3.6273	8.8253	4.9271	11.276	11.219	9.5359	6.4949	9.6315	11.152	6.9962	7.4932	8.5471	P42125																	
EF1A1_MOUSE	Elongation factor 1-alpha 1 OS=Mus musculus GN=Eef1a1 PE=1 SV=3	50 kDa	0.83			22.014	20.773	21.928	10.482	13.458	17.731	16.708	20.773	21.928	16.357	18.9415	18.951	15.848	19.193	9.7959	15.947	14.669	12.778	23.183	16.8767	50 kDa	0.31		2.6347	4.3004	5.3868	6.5674	4.3049	4.6388	3.5082	8.7444	3.6273	8.8253	6.1763	3.3827	1.8699	4.2382	3.2475	3.1846	3.9828	6.9962	1.0705	4.0165	P10126																	
EF2_MOUSE	Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2	95 kDa	0.29			9.5714	7.7897	8.7713	10.482	4.4859	8.2201	7.8627	7.7897	8.7713	0	6.1059	7.5804	3.729	9.0913	13.469	8.4674	11.409	13.577	8.9165	11.3008	95 kDa	0.94		3.513	0	1.7956	6.5674	0	2.3752	2.3388	2.4984	4.8365	2.2063	2.97	2.2551	3.7398	1.0595	2.165	2.3049	4.7794	2.9984	1.0705	2.9494	P58252																	
EHD1_MOUSE	EH domain-containing protein 1 OS=Mus musculus GN=Ehd1 PE=1 SV=1	61 kDa	0.14			4.7857	2.5966	1.0964	4.6588	0	2.6275	0	2.5966	1.0964	1.1684	1.2154	0.9476	0.9323	0	0	0.47	1.6298	0	0	0.5433	61 kDa	0.27		1.7565	0	0.8978	0	1.0762	0.7461	0	0	0	0	0	1.1276	0	0	3.2475	1.0938	0	0	0	0	Q9WVK4																	
EHD2_MOUSE	EH domain-containing protein 2 OS=Mus musculus GN=Ehd2 PE=1 SV=1	61 kDa	0.82			27.757	26.831	25.217	26.788	10.093	23.3372	15.725	26.831	25.217	25.704	23.3693	27.479	35.426	21.213	22.041	26.5398	26.892	21.563	19.616	22.6903	61 kDa	0.82		7.9042	5.1605	2.6934	8.7565	8.6097	6.6249	7.0164	13.741	3.6273	1.1032	6.372	2.2551	2.8048	4.2382	9.7424	4.7601	7.1691	8.9951	5.3523	7.1722	Q8BH64																	
