Accession_Number	Identified Proteins (551)	Molecular Weight	ANOVA Test (P-Value	18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN		Entry	All_Pathways	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle
RAP1B_MOUSE	Ras-related protein Rap-1b OS=Mus musculus GN=Rap1b PE=2 SV=2	21 kDa	0.0073	1.7565	1.7202	1.7956	2.1891	3.2286	2.138	1.1694	1.2492	1.2091	1.1032	1.1827	3.3827	2.8048	1.0595	4.3299	2.8942	3.9828	3.9978	3.2114	3.7307		Q99JI6	Integrin										Integrin				
RLA0_MOUSE	60S acidic ribosomal protein P0 OS=Mus musculus GN=Rplp0 PE=1 SV=3	34 kDa	0.0073	1.7565	0.8601	0	1.0946	1.0762	0.9575	1.1694	0	0	0	0.2924	1.1276	1.8699	1.0595	2.165	1.5555	1.5931	2.9984	2.1409	2.2441		P14869															
ODPB_MOUSE	"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Mus musculus GN=Pdhb PE=1 SV=1"	39 kDa	0.0074	9.6607	12.041	8.978	5.4728	6.4573	8.522	7.0164	3.7476	3.6273	2.2063	4.1494	5.6378	5.6096	5.2977	5.4124	5.4894	12.745	10.994	7.4932	10.4107		Q9D051															
PGS1_MOUSE	Biglycan OS=Mus musculus GN=Bgn PE=2 SV=1	42 kDa	0.0075	5.2694	0	0	0	1.0762	1.2691	25.727	57.463	30.228	4.4126	29.4577	1.1276	0.9349	1.0595	2.165	1.3218	2.3897	2.9984	1.0705	2.1529		P28653															
CALM_MOUSE	Calmodulin OS=Mus musculus GN=Calm1 PE=1 SV=2	17 kDa	0.0076	3.513	5.1605	8.0802	4.3783	7.5335	5.7331	4.6776	0	0	1.1032	1.4452	3.3827	8.4144	8.4764	9.7424	7.504	6.3725	6.9962	8.5636	7.3108		P62204															
DECR_MOUSE	"2,4-dienoyl-CoA reductase, mitochondrial OS=Mus musculus GN=Decr1 PE=1 SV=1"	36 kDa	0.008	7.0259	7.7407	13.467	8.7565	8.6097	9.12	0	0	1.2091	7.7221	2.2328	3.3827	6.5446	5.2977	6.4949	5.43	10.355	6.9962	8.5636	8.6383		Q9CQ62															
IGHG1_MOUSE	Ig gamma-1 chain C region secreted form OS=Mus musculus GN=Ighg1 PE=1 SV=1	36 kDa	0.0083	0	0	0	0	0	0	72.503	42.473	35.064	0	37.51	0	0.9349	1.0595	0	0.4986	0	0	0	0		P01868															
RPN2_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Mus musculus GN=Rpn2 PE=2 SV=1	69 kDa	0.0084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7966	0.9995	0	0.5987		Q9DBG6															
SSRA_MOUSE	Translocon-associated protein subunit alpha OS=Mus musculus GN=Ssr1 PE=1 SV=1	32 kDa	0.0084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7966	0.9995	0	0.5987		Q9CY50															
TCPG_MOUSE	T-complex protein 1 subunit gamma OS=Mus musculus GN=Cct3 PE=1 SV=1	61 kDa	0.0084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7966	0.9995	0	0.5987		P80318															
UBC_MOUSE	Polyubiquitin-C OS=Mus musculus GN=Ubc PE=1 SV=2	83 kDa	0.0091	7.0259	7.7407	6.2846	6.5674	5.3811	6.5999	7.0164	3.7476	7.2547	5.5158	5.8836	10.148	7.4795	10.595	14.072	10.5736	7.9657	6.9962	8.5636	7.8418		P0CG50															
DPEP1_MOUSE	Dipeptidase 1 OS=Mus musculus GN=Dpep1 PE=1 SV=2	46 kDa	0.0094	4.3912	4.3004	5.3868	3.2837	3.2286	4.1181	2.3388	2.4984	1.2091	1.1032	1.7874	4.5102	2.8048	5.2977	3.2475	3.9651	3.9828	2.9984	4.2818	3.7543		P31428															
THIM_MOUSE	"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=3"	42 kDa	0.0096	18.443	16.342	20.65	14.229	13.991	16.731	11.694	3.7476	1.2091	7.7221	6.0932	11.276	18.699	9.5359	7.5774	11.7721	18.321	13.992	12.845	15.0527		Q8BWT1															
RAB10_MOUSE	Ras-related protein Rab-10 OS=Mus musculus GN=Rab10 PE=1 SV=1	23 kDa	0.0097	2.6347	0.8601	1.7956	0	3.2286	1.7038	2.3388	0	0	0	0.5847	5.6378	1.8699	4.2382	5.4124	4.2896	2.3897	3.9978	3.2114	3.1996		P61027															
DHSA_MOUSE	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus GN=Sdha PE=1 SV=1"	73 kDa	0.01	8.7824	13.761	17.058	13.135	11.838	12.9149	16.372	11.243	6.0456	5.5158	9.7941	6.7654	2.8048	4.2382	3.2475	4.264	7.9657	5.9968	4.2818	6.0814		Q8K2B3															
GNAI2_MOUSE	Guanine nucleotide-binding protein G(i) subunit alpha-2 OS=Mus musculus GN=Gnai2 PE=1 SV=5	40 kDa	0.01	2.6347	2.5802	1.7956	2.1891	3.2286	2.4856	1.1694	1.2492	0	0	0.6047	4.5102	0.9349	3.1786	3.2475	2.9678	2.3897	2.9984	3.2114	2.8665		P08752	Chemokine_Cytokine_Signaling			Chemokine_Cytokine_Signaling											
HCD2_MOUSE	3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus GN=Hsd17b10 PE=1 SV=4	27 kDa	0.01	2.6347	1.7202	2.6934	3.2837	3.2286	2.7121	0	0	0	3.3095	0.8274	4.5102	3.7398	3.1786	3.2475	3.669	2.3897	2.9984	2.1409	2.5097		O08756															
VDAC1_MOUSE	Voltage-dependent anion-selective channel protein 1 OS=Mus musculus GN=Vdac1 PE=1 SV=3	32 kDa	0.01	19.321	26.663	32.321	26.27	13.991	23.7132	8.1859	8.7444	13.3	16.547	11.6943	15.786	14.959	19.072	20.567	17.596	26.287	20.989	28.902	25.3927		Q60932															
CSRP1_MOUSE	Cysteine and glycine-rich protein 1 OS=Mus musculus GN=Csrp1 PE=1 SV=3	21 kDa	0.011	18.443	19.782	9.8759	15.324	18.296	16.3442	15.202	14.99	6.0456	12.135	12.0932	19.169	16.829	19.072	21.65	19.18	19.914	22.988	23.55	22.1507		P97315															
G6PI_MOUSE	Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi PE=1 SV=4	63 kDa	0.011	8.7824	9.4609	10.774	6.5674	5.3811	8.1932	11.694	9.9936	9.6729	5.5158	9.2191	13.531	11.219	19.072	15.155	14.7443	10.355	8.9951	8.5636	9.3046		P06745	Glycolysis								Glycolysis						
LDHA_MOUSE	L-lactate dehydrogenase A chain OS=Mus musculus GN=Ldha PE=1 SV=3	36 kDa	0.011	1.7565	1.7202	0.8978	0	0	0.8749	0	0	0	0	0	0	0	0	0	0	4.7794	1.9989	1.0705	2.6163		P06151															
ATPB_MOUSE	"ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2"	56 kDa	0.012	118.56	149.65	144.55	106.17	109.77	125.74	115.77	93.69	96.729	107.01	103.2998	134.18	173.9	146.22	128.82	145.78	108.33	100.95	109.19	106.1567		P56480	ATP_Synthesis	ATP_Synthesis													
CH60_MOUSE	"60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1"	61 kDa	0.012	7.9042	14.621	13.467	7.662	9.6859	10.668	10.525	6.246	4.8365	6.619	7.0566	13.531	14.959	10.595	12.99	13.0188	6.3725	7.9957	6.4227	6.9303		P63038															
ROA3_MOUSE	Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus GN=Hnrnpa3 PE=1 SV=1	40 kDa	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5931	0.9995	0	0.8642		Q8BG05															
COCA1_MOUSE	Collagen alpha-1(XII) chain OS=Mus musculus GN=Col12a1 PE=2 SV=3	340 kDa	0.013	9.6607	0	0	0	0	1.9321	101.74	316.05	110.03	38.611	141.6078	0	0	0	0	0	0	0	0	0		Q60847	"Chemokine_Cytokine_Signaling, Integrin"			Chemokine_Cytokine_Signaling							Integrin				
GSTP1_MOUSE	Glutathione S-transferase P 1 OS=Mus musculus GN=Gstp1 PE=1 SV=2	24 kDa	0.013	0.8782	1.7202	0.8978	0	2.1524	1.1297	3.5082	0	1.2091	0	1.1793	3.3827	2.8048	4.2382	4.3299	3.6889	3.1863	1.9989	2.1409	2.442		P19157															
RS3_MOUSE	40S ribosomal protein S3 OS=Mus musculus GN=Rps3 PE=1 SV=1	27 kDa	0.013	0.8782	0.8601	1.7956	2.1891	0	1.1446	0	0	0	1.1032	0.2758	1.1276	0	0	1.0825	0.5525	2.3897	1.9989	2.1409	2.1765		P62908															
ACADS_MOUSE	"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acads PE=1 SV=2"	45 kDa	0.014	0.8782	2.5802	5.3868	2.1891	1.0762	2.4221	0	0	0	0	0	3.3827	2.8048	3.1786	1.0825	2.6122	3.1863	2.9984	3.2114	3.132		Q07417															
NDUA9_MOUSE	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Mus musculus GN=Ndufa9 PE=1 SV=2"	43 kDa	0.014	5.2694	4.3004	1.7956	1.0946	4.3049	3.353	5.847	2.4984	3.6273	3.3095	3.8206	0	0	0	0	0	4.7794	0.9995	4.2818	3.3536		Q9DC69															
TNNI3_MOUSE	"Troponin I, cardiac muscle OS=Mus musculus GN=Tnni3 PE=1 SV=2"	24 kDa	0.014	7.9042	8.6008	10.774	14.229	11.838	10.6692	2.3388	2.4984	1.2091	9.9284	3.9937	12.403	13.089	11.655	7.5774	11.1811	8.7622	6.9962	10.705	8.8211		P48787															
ARPC2_MOUSE	Actin-related protein 2/3 complex subunit 2 OS=Mus musculus GN=Arpc2 PE=1 SV=3	34 kDa	0.015	0.8782	0.8601	0.8978	2.1891	0	0.965	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Q9CVB6	"Chemokine_Cytokine_Signaling, Cytoskeleton, Integrin"			Chemokine_Cytokine_Signaling	Cytoskeleton						Integrin				
CALX_MOUSE	Calnexin OS=Mus musculus GN=Canx PE=1 SV=1	67 kDa	0.016	0	0	0	0	0	0	1.1694	1.2492	0	1.1032	0.8805	0	0	0	0	0	1.5931	0.9995	0	0.8642		P35564															
GPX3_MOUSE	Glutathione peroxidase 3 OS=Mus musculus GN=Gpx3 PE=2 SV=2	25 kDa	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0595	0	0.2649	2.3897	2.9984	0	1.796		P46412															
A1AT5_MOUSE	Alpha-1-antitrypsin 1-5 OS=Mus musculus GN=Serpina1e PE=1 SV=1	46 kDa	0.02	0	0	0.8978	0	0	0.1796	3.5082	1.2492	2.4182	0	1.7939	0	0	0	0	0	0	0	0	0		Q00898	Blood_Coagulation		Blood_Coagulation												
COF1_MOUSE	Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=3	19 kDa	0.02	3.513	4.3004	2.6934	3.2837	3.2286	3.4038	4.6776	0	0	0	1.1694	5.6378	3.7398	4.2382	6.4949	5.0277	3.9828	3.9978	2.1409	3.3738		P18760															
GSTM2_MOUSE	Glutathione S-transferase Mu 2 OS=Mus musculus GN=Gstm2 PE=1 SV=2	26 kDa	0.02	1.7565	3.4403	2.6934	0	3.2286	2.2238	1.1694	1.2492	2.4182	3.3095	2.0366	5.6378	4.6747	3.1786	5.4124	4.7259	4.7794	2.9984	3.2114	3.6631		P15626															
K1C17_MOUSE	"Keratin, type I cytoskeletal 17 OS=Mus musculus GN=Krt17 PE=1 SV=3"	48 kDa	0.02	3.513	20.642	16.16	8.7565	10.762	11.9667	12.863	11.243	15.718	15.444	13.817	10.148	8.4144	6.3573	4.3299	7.3124	3.1863	0.9995	4.2818	2.8225		Q9QWL7															
MYL9_MOUSE	Myosin regulatory light polypeptide 9 OS=Mus musculus GN=Myl9 PE=1 SV=3	20 kDa	0.021	28.104	22.362	18.854	35.026	25.829	26.035	31.574	7.4952	3.6273	11.032	13.4321	27.061	26.178	34.965	44.382	33.1465	30.27	34.981	35.325	33.5253		Q9CQ19															
NDKA_MOUSE	Nucleoside diphosphate kinase A OS=Mus musculus GN=Nme1 PE=1 SV=1	17 kDa	0.021	1.7565	4.3004	4.489	2.1891	4.3049	3.408	2.3388	0	0	0	0.5847	5.6378	3.7398	1.0595	7.5774	4.5036	4.7794	4.9973	4.2818	4.6862		P15532	De_Novo_Purine_Biosynthesis					De_Novo_Purine_Biosynthesis									
NDKB_MOUSE	Nucleoside diphosphate kinase B OS=Mus musculus GN=Nme2 PE=1 SV=1	17 kDa	0.021	1.7565	4.3004	4.489	2.1891	4.3049	3.408	2.3388	0	0	0	0.5847	5.6378	3.7398	1.0595	7.5774	4.5036	4.7794	4.9973	4.2818	4.6862		Q01768	De_Novo_Purine_Biosynthesis					De_Novo_Purine_Biosynthesis									
COEA1_MOUSE	Collagen alpha-1(XIV) chain OS=Mus musculus GN=Col14a1 PE=2 SV=2	193 kDa	0.022	0	0	0	0	0	0	5.847	81.198	41.11	16.547	36.1755	0	0	0	0	0	0	0	0	0		Q80X19	"Chemokine_Cytokine_Signaling, Integrin"			Chemokine_Cytokine_Signaling							Integrin				
MDHC_MOUSE	"Malate dehydrogenase, cytoplasmic OS=Mus musculus GN=Mdh1 PE=1 SV=3"	37 kDa	0.022	3.513	6.0206	3.5912	4.3783	7.5335	5.0073	5.847	2.4984	4.8365	1.1032	3.5713	5.6378	2.8048	3.1786	3.2475	3.7172	6.3725	8.9951	8.5636	7.9771		P14152	TCA_Cycle														TCA_Cycle
MUC18_MOUSE	Cell surface glycoprotein MUC18 OS=Mus musculus GN=Mcam PE=1 SV=1	72 kDa	0.022	0.8782	1.7202	0.8978	1.0946	0	0.9182	0	0	0	0	0	0	0	0	0	0	2.3897	1.9989	0	1.4629		Q8R2Y2															
RS4X_MOUSE	"40S ribosomal protein S4, X isoform OS=Mus musculus GN=Rps4x PE=2 SV=2"	30 kDa	0.022	0.8782	2.5802	0	2.1891	2.1524	1.56	0	0	0	0	0	2.2551	1.8699	1.0595	3.2475	2.108	2.3897	0.9995	1.0705	1.4866		P62702															
ALDOA_MOUSE	Fructose-bisphosphate aldolase A OS=Mus musculus GN=Aldoa PE=1 SV=2	39 kDa	0.023	4.3912	5.1605	4.489	7.662	5.3811	5.4168	4.6776	0	1.2091	0	1.4717	4.5102	3.7398	4.2382	1.0825	3.3927	5.576	6.9962	3.2114	5.2612		P05064	Glycolysis								Glycolysis						
MMSA_MOUSE	"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1"	58 kDa	0.023	1.7565	0.8601	1.7956	0	0	0.8824	0	0	0	0	0	1.1276	1.8699	1.0595	3.2475	1.8261	0.7966	0	0	0.2655		Q9EQ20															
SRBS2_MOUSE	Sorbin and SH3 domain-containing protein 2 OS=Mus musculus GN=Sorbs2 PE=1 SV=2	132 kDa	0.025	26.347	13.761	15.263	19.702	21.524	19.3194	7.0164	28.732	8.4638	2.2063	11.6046	30.444	23.373	28.608	31.392	28.4543	25.49	41.977	23.55	30.339		Q3UTJ2															
CAZA2_MOUSE	F-actin-capping protein subunit alpha-2 OS=Mus musculus GN=Capza2 PE=1 SV=3	33 kDa	0.026	0.8782	1.7202	0.8978	2.1891	1.0762	1.3523	2.3388	1.2492	0	0	0.897	0	0	0	0	0	0	0	0	0		P47754															
MYL3_MOUSE	Myosin light chain 3 OS=Mus musculus GN=Myl3 PE=1 SV=4	22 kDa	0.026	54.451	65.366	97.861	80.998	83.945	76.5242	40.929	42.473	53.201	57.364	48.4918	78.929	77.6	70.99	57.372	71.2228	60.539	54.97	70.65	62.053		P09542															
PALLD_MOUSE	Palladin OS=Mus musculus GN=Palld PE=1 SV=2	152 kDa	0.026	0.8782	0	0	0	0	0.1756	1.1694	4.9968	3.6273	1.1032	2.7242	2.2551	0	0	0	0.5638	0.7966	0	0	0.2655		Q9ET54															
ETFB_MOUSE	Electron transfer flavoprotein subunit beta OS=Mus musculus GN=Etfb PE=1 SV=3	28 kDa	0.027	19.321	27.523	31.423	24.08	18.296	24.1286	1.1694	6.246	3.6273	24.269	8.8279	24.806	21.504	21.191	15.155	20.664	18.321	16.991	20.339	18.5503		Q9DCW4															
K2C1B_MOUSE	"Keratin, type II cytoskeletal 1b OS=Mus musculus GN=Krt77 PE=1 SV=1"	61 kDa	0.027	24.591	25.802	22.445	20.797	29.058	24.5386	24.558	0	22.973	24.269	17.95	0	23.373	26.489	0	12.4655	0	0	0	0		Q6IFZ6															
ACADV_MOUSE	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadvl PE=1 SV=3"	71 kDa	0.028	24.591	23.222	26.934	18.608	26.905	24.052	22.219	14.99	4.8365	4.4126	11.6145	19.169	30.853	23.31	18.402	22.9335	20.711	18.99	17.127	18.9427		P50544															
M2OM_MOUSE	Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus GN=Slc25a11 PE=1 SV=3	34 kDa	0.028	7.0259	7.7407	8.0802	5.4728	4.3049	6.5249	1.1694	3.7476	2.4182	7.7221	3.7643	3.3827	4.6747	2.1191	4.3299	3.6266	2.3897	1.9989	2.1409	2.1765		Q9CR62															
MYOM1_MOUSE	Myomesin-1 OS=Mus musculus GN=Myom1 PE=1 SV=2	185 kDa	0.028	0	0.8601	0.8978	1.0946	0	0.5705	2.3388	1.2492	2.4182	1.1032	1.7774	2.2551	0.9349	3.1786	2.165	2.1334	2.3897	1.9989	1.0705	1.8197		Q62234															
CO3_MOUSE	Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3	186 kDa	0.029	3.513	4.3004	1.7956	6.5674	1.0762	3.4505	1.1694	1.2492	0	0	0.6047	0	0	1.0595	0	0.2649	2.3897	0	3.2114	1.867		P01027															
TPIS_MOUSE	Triosephosphate isomerase OS=Mus musculus GN=Tpi1 PE=1 SV=4	32 kDa	0.029	1.7565	4.3004	5.3868	2.1891	4.3049	3.5875	0	0	0	2.2063	0.5516	1.1276	3.7398	2.1191	2.165	2.2879	1.5931	2.9984	4.2818	2.9578		P17751	Glycolysis								Glycolysis						
NDUS1_MOUSE	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus GN=Ndufs1 PE=1 SV=2"	80 kDa	0.03	5.2694	6.8806	8.978	10.946	8.6097	8.1367	16.372	6.246	22.973	15.444	15.2588	10.148	13.089	13.774	6.4949	10.8765	7.1691	4.9973	1.0705	4.4123		Q91VD9															
AT5F1_MOUSE	"ATP synthase F(0) complex subunit B1, mitochondrial OS=Mus musculus GN=Atp5f1 PE=1 SV=1"	29 kDa	0.031	8.7824	7.7407	8.978	8.7565	7.5335	8.3582	10.525	3.7476	3.6273	6.619	6.1297	4.5102	4.6747	5.2977	2.165	4.1619	4.7794	3.9978	6.4227	5.0666		Q9CQQ7															
CAV1_MOUSE	Caveolin-1 OS=Mus musculus GN=Cav1 PE=1 SV=1	21 kDa	0.031	1.7565	2.5802	2.6934	2.1891	0	1.8438	2.3388	1.2492	0	2.2063	1.4486	0	0	0	1.0825	0.2706	0	0	0	0		P49817	Integrin										Integrin				
DLDH_MOUSE	"Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2"	54 kDa	0.031	12.295	11.181	14.365	8.7565	6.4573	10.611	9.3553	2.4984	3.6273	4.4126	4.9734	7.8929	12.154	9.5359	8.6599	9.5607	7.9657	4.9973	7.4932	6.8187		O08749															
NDUS3_MOUSE	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Mus musculus GN=Ndufs3 PE=1 SV=2"	30 kDa	0.032	7.9042	9.4609	9.8759	12.04	10.762	10.0086	2.3388	4.9968	6.0456	11.032	6.1033	13.531	11.219	9.5359	10.825	11.2777	8.7622	8.9951	7.4932	8.4168		Q9DCT2															
ACADL_MOUSE	"Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadl PE=1 SV=2"	48 kDa	0.033	10.539	11.181	15.263	8.7565	11.838	11.5155	10.525	6.246	4.8365	5.5158	6.7808	7.8929	10.284	10.595	6.4949	8.8167	13.542	9.9946	10.705	11.4139		P51174															
ATPA_MOUSE	"ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1"	60 kDa	0.033	128.22	159.11	152.63	112.74	104.39	131.418	109.92	82.447	100.36	94.872	96.8998	115.01	148.66	130.32	110.41	126.1	105.94	101.94	96.341	101.407		Q03265	ATP_Synthesis	ATP_Synthesis													
PGBM_MOUSE	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1	398 kDa	0.033	7.9042	6.0206	2.6934	3.2837	4.3049	4.8414	1.1694	1.2492	7.2547	1.1032	2.6941	7.8929	4.6747	3.1786	7.5774	5.8309	9.5588	7.9957	8.5636	8.706		Q05793															
PGS2_MOUSE	Decorin OS=Mus musculus GN=Dcn PE=2 SV=1	40 kDa	0.033	2.6347	3.4403	3.5912	4.3783	5.3811	3.8851	4.6776	3.7476	4.8365	7.7221	5.246	6.7654	6.5446	6.3573	7.5774	6.8112	6.3725	10.994	5.3523	7.5729		P28654															
ML12B_MOUSE	Myosin regulatory light chain 12B OS=Mus musculus GN=Myl12b PE=1 SV=2	20 kDa	0.034	19.321	15.481	14.365	24.08	19.372	18.5238	23.388	4.9968	1.2091	4.4126	8.5016	16.913	19.634	23.31	31.392	22.8123	20.711	19.989	25.691	22.1303		Q3THE2															
IDHP_MOUSE	"Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus GN=Idh2 PE=1 SV=3"	51 kDa	0.035	23.713	26.663	35.014	26.27	21.524	26.6368	23.388	2.4984	6.0456	22.063	13.4988	16.913	22.439	8.4764	7.5774	13.8515	26.287	25.986	22.48	24.9177		P54071															
K1C10_MOUSE	"Keratin, type I cytoskeletal 10 OS=Mus musculus GN=Krt10 PE=1 SV=3"	58 kDa	0.035	60.599	67.086	68.233	51.445	40.896	57.6518	61.979	34.978	45.946	55.158	49.5153	50.74	42.072	38.144	28.145	39.7753	30.27	27.985	42.818	33.691		P02535															
ETFA_MOUSE	"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus GN=Etfa PE=1 SV=2"	35 kDa	0.036	8.7824	16.342	11.671	9.8511	9.6859	11.2665	3.5082	4.9968	7.2547	14.341	7.5252	2.2551	6.5446	4.2382	5.4124	4.6126	19.118	10.994	9.6341	13.2487		Q99LC5															
COR1C_MOUSE	Coronin-1C OS=Mus musculus GN=Coro1c PE=1 SV=2	53 kDa	0.039	1.7565	0.8601	0.8978	0	1.0762	0.9181	2.3388	2.4984	0	0	1.2093	2.2551	1.8699	3.1786	2.165	2.3672	0.7966	0	0	0.2655		Q9WUM4															
CX6B1_MOUSE	Cytochrome c oxidase subunit 6B1 OS=Mus musculus GN=Cox6b1 PE=1 SV=2	10 kDa	0.039	0	2.5802	0.8978	0	1.0762	0.9108	3.5082	3.7476	2.4182	0	2.4185	0	0	0	0	0	0	0.9995	0	0.3332		P56391															
ITB1_MOUSE	Integrin beta-1 OS=Mus musculus GN=Itgb1 PE=1 SV=1	88 kDa	0.039	7.0259	7.7407	4.489	5.4728	3.2286	5.5914	4.6776	9.9936	14.509	7.7221	9.2256	4.5102	1.8699	3.1786	4.3299	3.4722	7.1691	6.9962	5.3523	6.5059		P09055	"Chemokine_Cytokine_Signaling, Integrin"			Chemokine_Cytokine_Signaling							Integrin				
1433T_MOUSE	14-3-3 protein theta OS=Mus musculus GN=Ywhaq PE=1 SV=1	28 kDa	0.04	7.9042	5.1605	7.1824	8.7565	4.3049	6.6617	0	4.9968	0	5.5158	2.6282	9.0205	5.6096	5.2977	6.4949	6.6057	5.576	7.9957	7.4932	7.0216		P68254	Parkinson												Parkinson		
1433F_MOUSE	14-3-3 protein eta OS=Mus musculus GN=Ywhah PE=1 SV=2	28 kDa	0.041	7.0259	4.3004	5.3868	0	0	3.3426	0	0	0	0	0	0	0	0	0	0	0	0	0	0		P68510	Parkinson												Parkinson		
ECHB_MOUSE	"Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus GN=Hadhb PE=1 SV=1"	51 kDa	0.041	21.956	20.642	17.956	14.229	11.838	17.3242	11.694	13.741	10.882	6.619	10.734	13.531	19.634	19.072	14.072	16.5773	18.321	16.991	17.127	17.4797		Q99JY0															
ECI1_MOUSE	"Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus GN=Eci1 PE=1 SV=2"	32 kDa	0.041	7.0259	12.901	18.854	12.04	9.6859	12.1014	3.5082	3.7476	3.6273	8.8253	4.9271	11.276	11.219	9.5359	6.4949	9.6315	11.152	6.9962	7.4932	8.5471		P42125															
KAD1_MOUSE	Adenylate kinase isoenzyme 1 OS=Mus musculus GN=Ak1 PE=1 SV=1	22 kDa	0.041	1.7565	1.7202	4.489	4.3783	5.3811	3.545	5.847	0	0	0	1.4618	3.3827	7.4795	5.2977	7.5774	5.9343	4.7794	4.9973	6.4227	5.3998		Q9R0Y5	De_Novo_Purine_Biosynthesis					De_Novo_Purine_Biosynthesis									
KCRB_MOUSE	Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1	43 kDa	0.043	8.7824	5.1605	9.8759	6.5674	8.6097	7.7992	8.1859	3.7476	2.4182	5.5158	4.9669	11.276	7.4795	4.2382	7.5774	7.6428	8.7622	11.994	11.775	10.8437		Q04447															
K1C42_MOUSE	"Keratin, type I cytoskeletal 42 OS=Mus musculus GN=Krt42 PE=1 SV=1"	50 kDa	0.044	6.1477	14.621	14.365	7.662	12.915	11.1421	8.1859	9.9936	14.509	15.444	12.0331	14.658	10.284	6.3573	4.3299	8.9073	3.9828	0	5.3523	3.1117		Q6IFX2															
AT2A2_MOUSE	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus GN=Atp2a2 PE=1 SV=2	115 kDa	0.045	26.347	36.983	37.708	45.972	33.363	36.0746	49.115	34.978	65.292	45.23	48.6538	40.592	34.593	45.56	31.392	38.0343	35.845	25.986	16.057	25.9627		O55143															
ANXA2_MOUSE	Annexin A2 OS=Mus musculus GN=Anxa2 PE=1 SV=2	39 kDa	0.046	20.2	18.922	12.569	20.797	11.838	16.8652	11.694	13.741	15.718	18.754	14.9768	5.6378	10.284	9.5359	17.32	10.6944	19.118	34.981	18.198	24.099		P07356															
RS10_MOUSE	40S ribosomal protein S10 OS=Mus musculus GN=Rps10 PE=1 SV=1	19 kDa	0.047	0.8782	0.8601	0.8978	0	1.0762	0.7425	0	0	0	0	0	0	0.9349	1.0595	2.165	1.0399	0.7966	1.9989	1.0705	1.2887		P63325															
